2023-06-07 00:54:23,380 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Configure stats pid to 7146
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Loading settings from /home/dell/.config/wandb/settings
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Loading settings from /home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb/wandb/settings
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'yiyichanmyaewinshein', 'project': 'TaxiNYC', 'root_dir': '/home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb', 'run_id': '0bb78623', 'sweep_param_path': '/home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb/wandb/sweep-27p8ksd5/config-0bb78623.yaml', 'sweep_id': '27p8ksd5'}
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'homework/homework2_wandb/sweep.py', 'program': '/home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb/sweep.py'}
2023-06-07 00:54:23,381 INFO    Thread-79 (_run_job):7146 [wandb_init.py:_log_setup():507] Logging user logs to /home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb/wandb/run-20230607_005423-0bb78623/logs/debug.log
2023-06-07 00:54:23,382 INFO    Thread-79 (_run_job):7146 [wandb_init.py:_log_setup():508] Logging internal logs to /home/dell/Documents/zoomcamp_datatalks2023/homework/homework2_wandb/wandb/run-20230607_005423-0bb78623/logs/debug-internal.log
2023-06-07 00:54:23,382 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():547] calling init triggers
2023-06-07 00:54:23,382 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():554] wandb.init called with sweep_config: {'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 38}
config: {}
2023-06-07 00:54:23,382 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():596] starting backend
2023-06-07 00:54:23,382 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():600] setting up manager
2023-06-07 00:54:23,395 INFO    Thread-79 (_run_job):7146 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-07 00:54:23,404 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():606] backend started and connected
2023-06-07 00:54:23,410 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_config_callback():1286] config_cb None None {'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 38}
2023-06-07 00:54:23,411 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():700] updated telemetry
2023-06-07 00:54:23,416 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-07 00:54:24,244 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_on_init():2177] communicating current version
2023-06-07 00:54:24,593 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_on_init():2186] got version response 
2023-06-07 00:54:24,593 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():787] starting run threads in backend
2023-06-07 00:54:26,838 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_console_start():2158] atexit reg
2023-06-07 00:54:26,838 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_redirect():2013] redirect: 3
2023-06-07 00:54:26,838 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-07 00:54:26,839 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-07 00:54:26,839 INFO    Thread-79 (_run_job):7146 [wandb_init.py:init():829] run started, returning control to user process
2023-06-07 00:54:28,929 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_finish():1893] finishing run yiyichanmyaewinshein/TaxiNYC/0bb78623
2023-06-07 00:54:28,929 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 1
2023-06-07 00:54:28,929 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_restore():2110] restore
2023-06-07 00:54:28,929 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_restore():2116] restore done
2023-06-07 00:54:34,902 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-06-07 00:54:34,902 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-06-07 00:54:34,904 INFO    Thread-79 (_run_job):7146 [wandb_run.py:_footer_sync_info():3428] logging synced files
